,VESSEL,IMO,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,HAZMAT,IMPORT_DWELL,IMPORT_DWELL_SCALED,RF,Container_Size,IS_WEEKEND
102,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-28 16:28:00,0,42.88333333333333,6.450065257593303,0,0,1
103,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-29 11:36:00,0,62.016666666666666,7.501387384472376,0,0,1
104,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-30 14:02:00,0,88.45,8.615163507686916,0,0,1
105,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-28 08:26:00,0,34.85,5.902634010096334,0,0,1
106,SEASPAN THAMES,9630377,PUSAN,NEW YORK,2019-10-25 20:29:00,2019-10-30 09:04:00,0,108.58333333333333,9.308008603243625,0,1,0
107,BALTIC NORTH,9463310,NAGOYA,TACOMA,2019-09-29 15:42:00,2019-10-01 14:16:00,0,46.56666666666667,6.6760384937544535,0,1,1
108,COLOMBO EXPRESS,9295244,LOS ANGELES,PUSAN,2019-11-01 06:47:00,2019-11-01 17:05:00,0,10.3,3.229396001674276,0,1,0
109,SAN DIEGO BRIDGE,9560376,LAEM CHABANG,LONG BEACH,2019-09-25 15:18:00,2019-10-01 14:05:00,0,142.78333333333333,10.293861872817436,0,1,0
110,NAVIOS CONSTELLATION,9408877,PUSAN,NEW YORK,2019-11-09 02:39:00,2019-11-12 15:09:00,0,84.5,8.465888921301865,0,0,1
111,MOL MANEUVER,9475648,SHANGHAI,SAVANNAH,2019-10-30 12:00:00,2019-11-01 09:16:00,0,45.266666666666666,6.59783371761757,0,1,0
112,MOL MAGNIFICENCE,9424900,TOKYO,NORFOLK,2019-10-29 17:24:00,2019-10-30 13:29:00,0,20.083333333333332,4.586389677434266,0,1,0
113,MOL PREMIUM,9444261,PORT KLANG,LONG BEACH,2019-10-25 04:19:00,2019-10-28 20:13:00,0,87.9,8.594675766662514,0,1,0
114,MOL PARTNER,9307035,HO CHI MINH,NEW YORK,2019-10-29 17:29:00,2019-11-01 10:49:00,0,65.33333333333333,7.658328557422772,0,1,0
115,NAVIOS CONSTELLATION,9408877,PUSAN,NEW YORK,2019-11-09 02:39:00,2019-11-13 16:15:00,0,109.6,9.340398441493017,0,1,1
116,NAVIOS CONSTELLATION,9408877,PUSAN,NEW YORK,2019-11-09 02:39:00,2019-11-14 10:26:00,0,127.78333333333333,9.885578615814671,0,0,1
117,MOL PARTNER,9307035,LAEM CHABANG,NEW YORK,2019-10-29 17:29:00,2019-11-01 09:16:00,0,63.78333333333333,7.585730888548776,0,0,0
118,EXPRESS BERLIN,9484924,YANTIAN,OAKLAND,2019-10-23 20:14:00,2019-10-31 08:11:00,0,179.95,11.184556654440854,0,0,0
119,NYK TRITON,9356713,NHAVA SHEVA,LONG BEACH,2019-11-08 15:30:00,2019-11-11 18:45:00,0,75.25,8.095107834483725,0,1,0
120,NAVIOS CONSTELLATION,9408877,PUSAN,NEW YORK,2019-11-09 02:39:00,2019-11-13 12:05:00,0,105.43333333333334,9.206217582834215,0,0,1
121,MOL PREMIUM,9444261,LAEM CHABANG,LONG BEACH,2019-10-25 04:19:00,2019-10-29 15:04:00,0,106.75,9.249033247024109,0,1,0
122,MOL PREMIUM,9444261,LAEM CHABANG,LONG BEACH,2019-10-25 04:19:00,2019-10-31 01:37:00,0,141.3,10.254932516848259,0,1,0
123,MOL COURAGE,9321263,NHAVA SHEVA,NEW YORK,2019-10-24 00:08:00,2019-10-28 11:59:00,0,107.85,9.284506888042138,0,0,0
124,YM MODESTY,9664885,LAEM CHABANG,SAVANNAH,2019-11-08 05:45:00,2019-11-12 12:37:00,0,102.86666666666666,9.121612008434873,0,0,0
125,TENO,9447859,NHAVA SHEVA,CHARLESTON,2019-11-09 03:14:00,2019-11-12 10:38:00,0,79.4,8.26537490272562,0,1,1
126,CONTI CONQUEST,9293818,SHANGHAI,NORFOLK,2019-10-26 06:48:00,2019-10-31 14:55:00,0,128.11666666666667,9.895024517953287,0,1,1
127,TENO,9447859,NHAVA SHEVA,SAVANNAH,2019-11-07 03:40:00,2019-11-12 11:40:00,0,128.0,9.891720507769518,1,1,0
128,MOL COURAGE,9321263,NHAVA SHEVA,NORFOLK,2019-10-28 19:15:00,2019-11-02 17:08:00,0,117.88333333333334,9.596398767023857,1,1,0
129,MOL PREMIUM,9444261,PORT KLANG,LONG BEACH,2019-10-25 04:19:00,2019-10-30 00:22:00,0,116.05,9.540905361765205,0,1,0
130,TENO,9447859,NHAVA SHEVA,NEW YORK,2019-10-30 18:04:00,2019-10-31 16:46:00,0,22.7,4.86246025676689,1,1,0
131,TENO,9447859,NHAVA SHEVA,NEW YORK,2019-10-30 18:04:00,2019-10-31 16:42:00,0,22.633333333333333,4.855724793623999,1,1,0
132,TENO,9447859,NHAVA SHEVA,SAVANNAH,2019-11-07 03:40:00,2019-11-08 15:24:00,0,35.733333333333334,5.967104846179131,1,1,0
