,HAZMAT,IS_WEEKEND,Vessel_size_category,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO,Predicted,Error,Absolute Error,Actual
770,0,1,2,123.05,123.32713963963964,2937,4,0.3870967741935484,0.2364864864864864,134.40434334626985,70.02898998706345,70.02898998706345,204.4333333333333
841,0,1,2,61.583333333333336,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,131.14569183938406,-6.295691839384062,6.295691839384062,124.85
25,0,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0,143.8050223275386,-22.75502232753861,22.75502232753861,121.05
84,0,1,0,18.08333333333333,29.420617283950616,2088,1,1.0,1.0,15.742612408550112,-2.1926124085501115,2.1926124085501115,13.55
10,0,0,0,22.48333333333333,19.226530612244897,760,1,1.0,1.0,43.52233506938469,-5.589001736051358,5.589001736051358,37.93333333333333
613,1,0,2,21.516666666666666,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,115.80944690707018,-50.042780240403516,50.042780240403516,65.76666666666667
351,1,0,2,33.666666666666664,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,135.46195658948153,-12.795289922814845,12.795289922814845,122.66666666666669
280,0,0,0,95.58333333333331,117.2535460992908,1325,1,1.0,1.0,135.56854022384047,-22.218540223840478,22.218540223840478,113.35
352,1,0,2,33.666666666666664,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,135.46195658948153,-9.561956589481525,9.561956589481525,125.9
896,0,0,2,58.333333333333336,48.410833333333336,174,2,0.8571428571428571,0.875,182.48019431482734,-82.58019431482734,82.58019431482734,99.9
525,0,1,0,47.583333333333336,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,40.43885974483032,4.54447358850301,4.54447358850301,44.98333333333333
462,0,0,2,35.75,36.58333333333333,108,1,1.0,1.0,22.402773540862178,13.49722645913782,13.49722645913782,35.9
118,0,0,0,25.666666666666668,29.420617283950616,2088,1,1.0,1.0,41.8742534394821,-14.674253439482104,14.674253439482104,27.2
638,0,0,2,221.3333333333333,123.32713963963964,2937,4,0.2258064516129032,0.0945945945945946,288.8482361411163,7.2850971922170515,7.2850971922170515,296.1333333333333
620,1,0,2,48.3,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,96.66313307578594,-44.846466409119266,44.846466409119266,51.81666666666667
314,0,0,2,34.5,24.482582582582584,4850,3,0.2777777777777778,0.2297297297297297,293.1492898301972,-5.049289830197154,5.049289830197154,288.1
29,0,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0,143.8050223275386,5.828311005794717,5.828311005794717,149.63333333333333
55,0,0,2,38.5,29.420617283950616,2088,1,1.0,1.0,106.23735294380477,-29.7206862771381,29.7206862771381,76.51666666666667
490,0,0,2,114.41666666666669,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,110.95459233041899,-14.654592330418993,14.654592330418993,96.3
