SHIPMENTID,VESSEL,IMO,VOYAGE#,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,EQUIPMENTTYPECODE,HAZMAT,GROSS_WEIGHT,weight_uom
327350,SEASPAN GANGES,9630365,018W,VANCOUVER,SHANGHAI,26-08-2020 16:10,31-08-2020 08:35,40ST,N,,
333166,KUALA LUMPUR EXPRESS,9343730,084E,NINGBO,LOS ANGELES,23-08-2020 04:11,31-08-2020 16:37,40HC,N,,
334679,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,11-10-2020 13:47,40ST,N,,
334680,ONE COSMOS,9388340,076W,VANCOUVER,SHANGHAI,01-09-2020 01:30,02-09-2020 21:29,40ST,N,,
337957,YM WARMTH,9704647,024E,HONG KONG,NEW YORK,19-08-2020 10:49,24-08-2020 11:51,20ST,N,,
339979,ONE CRANE,9741401,017E,HONG KONG,OAKLAND,28-07-2020 14:00,30-07-2020 16:12,20ST,N,,
341224,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,16-09-2020 03:52,40HC,N,,
341225,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,16-09-2020 03:38,40ST,N,,
341226,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,15-09-2020 07:24,40ST,N,,
341227,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,10-10-2020 13:54,40ST,N,,
342552,EXPRESS ATHENS,9484948,0126E,MUNDRA,NEW YORK,23-07-2020 17:19,27-07-2020 14:24,20ST,N,,
354830,SEASPAN THAMES,9630377,016W,VANCOUVER,SHANGHAI,07-09-2020 01:00,08-09-2020 05:53,40ST,N,,
355215,SEASPAN THAMES,9630377,016W,VANCOUVER,SHANGHAI,07-09-2020 01:00,08-09-2020 09:54,40ST,N,,
355322,SEASPAN GANGES,9630365,018W,VANCOUVER,SHANGHAI,26-08-2020 16:10,29-08-2020 00:27,40ST,N,,
355325,SEASPAN GANGES,9630365,018W,VANCOUVER,SHANGHAI,26-08-2020 16:10,29-08-2020 02:10,40ST,N,,
356160,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,16-09-2020 00:16,40ST,N,,
356167,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,11-10-2020 02:54,40HC,N,,
356169,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,10-10-2020 08:23,40ST,N,,
356170,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,11-10-2020 22:32,40HC,N,,
356171,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,23-10-2020 22:55,40HC,N,,
356955,HANOVER EXPRESS,9343716,091E,NINGBO,OAKLAND,13-08-2020 12:59,26-08-2020 11:03,40HC,N,,
356958,HANOVER EXPRESS,9343716,091E,NINGBO,OAKLAND,13-08-2020 12:59,20-08-2020 13:24,40HC,N,,
356965,HANOVER EXPRESS,9343716,091E,NINGBO,OAKLAND,13-08-2020 12:59,21-08-2020 11:18,40HC,N,,
356967,HANOVER EXPRESS,9343716,091E,NINGBO,OAKLAND,13-08-2020 12:59,27-08-2020 09:06,40HC,N,,
363964,PRAGUE EXPRESS,9450399,063W,VANCOUVER,SHANGHAI,04-09-2020 17:15,09-09-2020 17:55,40ST,N,,
371462,UNAYZAH,9525871,018E,YANTIAN,NEW YORK,28-07-2020 16:50,31-07-2020 09:27,40ST,N,,
371889,ONE COSMOS,9388340,076W,VANCOUVER,SHANGHAI,01-09-2020 01:30,02-09-2020 19:58,40ST,N,,
374318,HYUNDAI FAITH,9347554,089W,VANCOUVER,SHANGHAI,10-08-2020 17:30,13-08-2020 03:26,40ST,N,,
374319,HYUNDAI FAITH,9347554,089W,VANCOUVER,SHANGHAI,10-08-2020 17:30,13-08-2020 00:45,40ST,N,,
374320,HYUNDAI FAITH,9347554,089W,VANCOUVER,SHANGHAI,10-08-2020 17:30,13-08-2020 20:09,40ST,N,,
375853,NAVIOS CONSTELLATION,9408877,011E,YANTIAN,VANCOUVER,16-08-2020 00:09,26-08-2020 08:49,40ST,N,,
